QTYRANK,DOLLARRANK,INDEX,ITEM CODE,DESCRIPTION,PRICE,VENDOR,Month,CreativeTeam,Writer,InteriorArtist,CoverArtist,WriterIsArtist,WriterIsCoverArtist,ArtistIsCoverArtist,Volume,CreatorOwned
1,1,8.54,OCT160291-M,BATMAN,16.99,DC,2017-01-01,"(W) Tom King, Scott Snyder (A) Mikel Janin, Ivan Reis, Matt Batt Banning, Danny Miki, Sandra Hope, Scott Hanna, Joe Prado, Oclair Albert (A/CA) David Finch","Tom King, Scott Snyder","Mikel Janin, Ivan Reis, Matt Batt Banning, Danny Miki, Sandra Hope, Scott Hanna, Joe Prado, Oclair Albert,David Finch",David Finch,False,False,True,1.0,False
2,18,6.76,NOV160670-M,KILL OR BE KILLED,9.99,Image,2017-01-01,(W) Ed Brubaker (A/CA) Sean Phillips,Ed Brubaker,Sean Phillips,Sean Phillips,False,False,True,1.0,True
3,5,5.51,OCT160292,FLASH,17.99,DC,2017-01-01,"(W) Joshua Williamson (A) Carmine Di Giandomenico, Neil Googe, Felipe Watanabe, Andrew Currie, Oclair Albert (CA) Karl Kerschl",Joshua Williamson,"Carmine Di Giandomenico, Neil Googe, Felipe Watanabe, Andrew Currie, Oclair Albert",Karl Kerschl,False,False,False,1.0,False
4,10,5.23,OCT160297,SUPERMAN,16.99,DC,2017-01-01,"(W) Peter J. Tomasi, Patrick Gleason (A) Patrick Gleason, Jorge Jimenez, Mick Gray (A/CA) Doug Mahnke, Jaime Mendoza","Peter J. Tomasi, Patrick Gleason","Patrick Gleason, Jorge Jimenez, Mick Gray,Doug Mahnke, Jaime Mendoza","Doug Mahnke, Jaime Mendoza",False,False,True,1.0,False
5,42,4.83,AUG120491,SAGA,9.99,Image,2017-01-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,1.0,True
6,13,4.77,OCT160295,JUSTICE LEAGUE,16.99,DC,2017-01-01,"(W) Bryan Hitch (A) Bryan Hitch, Jesus Merino, Scott Hanna, Sandu Florea, Andy Owens, Daniel Henriques (A/CA) Tony S. Daniel",Bryan Hitch,"Bryan Hitch, Jesus Merino, Scott Hanna, Sandu Florea, Andy Owens, Daniel Henriques,Tony S. Daniel",Tony S. Daniel,False,False,True,1.0,False
7,45,4.4,JAN160645,PAPER GIRLS,9.99,Image,2017-01-01,(W) Brian K. Vaughan (A/CA) Cliff Chiang,Brian K. Vaughan,Cliff Chiang,Cliff Chiang,False,False,True,1.0,True
8,15,4.36,SEP161136,STAR WARS HAN SOLO,16.99,Marvel,2017-01-01,(W) Marjorie M. Liu (A) Mark Brooks (CA) Olivier Coipel,Marjorie M. Liu,Mark Brooks,Olivier Coipel,False,False,False,1.0,False
9,17,4.19,OCT160293,GREEN ARROW,16.99,DC,2017-01-01,(W) Ben Percy (A) Otto Schmidt (A/CA) Juan Ferreyra,Ben Percy,"Otto Schmidt,Juan Ferreyra",Juan Ferreyra,False,False,True,1.0,False
10,9,4.18,NOV160656-M,BLACK MONDAY MURDERS,19.99,Image,2017-01-01,(W) Jonathan Hickman (A/CA) Tomm Coker,Jonathan Hickman,Tomm Coker,Tomm Coker,False,False,True,1.0,True
11,36,4.13,FEB160628-M,GODDAMNED,9.99,Image,2017-01-01,(W) Jason Aaron (A/CA) R. M. Guera,Jason Aaron,R. M. Guera,R. M. Guera,False,False,True,1.0,True
12,29,4.08,NOV128157,WALKING DEAD,14.99,Image,2017-01-01,(W) Robert Kirkman (A) Cliff Rathburn (A/CA) Tony Moore,Robert Kirkman,"Cliff Rathburn,Tony Moore",Tony Moore,False,False,True,1.0,True
13,11,4.07,OCT161018,STAR WARS,19.99,Marvel,2017-01-01,"(W) Jason Aaron, Chris Eliopoulos (A) Jorge Molina, Mike Mayhew, Chris Eliopoulos (CA) Mike Deodato","Jason Aaron, Chris Eliopoulos","Jorge Molina, Mike Mayhew, Chris Eliopoulos",Mike Deodato,False,False,False,4.0,False
14,4,3.99,OCT160296,NIGHTWING,16.99,DC,2017-01-01,(W) Tim Seeley (A) Yanick Paquette (A/CA) Javi Fernandez,Tim Seeley,"Yanick Paquette,Javi Fernandez",Javi Fernandez,False,False,True,1.0,False
15,6,3.69,OCT160290,AQUAMAN,16.99,DC,2017-01-01,"(W) Dan Abnett (A) Scot Eaton, Philippe Briones, Oscar Jimenez, Mark Morales, Wayne Faucher (A/CA) Brad Walker, Andrew Hennessy",Dan Abnett,"Scot Eaton, Philippe Briones, Oscar Jimenez, Mark Morales, Wayne Faucher,Brad Walker, Andrew Hennessy","Brad Walker, Andrew Hennessy",False,False,True,1.0,False
16,20,3.66,OCT161008,BLACK PANTHER,15.99,Marvel,2017-01-01,(W) Ta-Nehisi Coates (A) Chris Sprouse (CA) Brian Stelfreeze,Ta-Nehisi Coates,Chris Sprouse,Brian Stelfreeze,False,False,False,2.0,False
17,22,3.54,MAY160731,SUNSTONE OGN VOL 05 (MR),14.99,Image,2017-01-01,(W) Stejpan Sejic (A) Stejpan Sejic (CA) Stjepan Sejic,Stejpan Sejic,Stejpan Sejic,Stjepan Sejic,False,False,False,1.0,True
18,40,3.47,SEP160064,AVATAR LAST AIRBENDER,10.99,Dark Horse,2017-01-01,(W) Gene Luen Yang (A/CA) Gurihiru,Gene Luen Yang,Gurihiru,Gurihiru,False,False,True,14.0,False
19,19,3.42,NOV160709-M,CHEW,16.99,Image,2017-01-01,(W) John Layman (A/CA) Rob Guillory,John Layman,Rob Guillory,Rob Guillory,False,False,True,12.0,True
20,8,3.4,OCT160294,GREEN LANTERNS,16.99,DC,2017-01-01,"(W) Sam Humphries, Geoff Johns (A) Ed Benes, Robson Rocha, Tom Derenick, Neil Edwards, Jackson Herbert, Jay Leisten, Will Conrad, Tom Palmer, Keith Champagne, Rob Hunter, Mark Irwin, Vicente Cifuentes, Marc Derring, Eduardo Pansica, Julio Ferreira (A/CA) Ethan Van Sciver","Sam Humphries, Geoff Johns","Ed Benes, Robson Rocha, Tom Derenick, Neil Edwards, Jackson Herbert, Jay Leisten, Will Conrad, Tom Palmer, Keith Champagne, Rob Hunter, Mark Irwin, Vicente Cifuentes, Marc Derring, Eduardo Pansica, Julio Ferreira,Ethan Van Sciver",Ethan Van Sciver,False,False,True,1.0,False
21,65,3.27,APR160803-M,MONSTRESS,9.99,Image,2017-01-01,(W) Marjorie M. Liu (A/CA) Sana Takeda,Marjorie M. Liu,Sana Takeda,Sana Takeda,False,False,True,1.0,True
22,25,2.92,OCT160305,HARLEY QUINN,16.99,DC,2017-01-01,"(W) Amanda Conner, Jimmy Palmiotti (A) Chad Hardin (A/CA) Amanda Conner","Amanda Conner, Jimmy Palmiotti","Chad Hardin,Amanda Conner",Amanda Conner,False,False,True,5.0,False
23,30,2.83,OCT161016,WOLVERINE OLD MAN LOGAN,15.99,Marvel,2017-01-01,(W) Jeff Lemire (A/CA) Andrea Sorrentino,Jeff Lemire,Andrea Sorrentino,Andrea Sorrentino,False,False,True,3.0,False
24,23,2.73,SEP160035,NEIL GAIMANS FORBIDDEN BRIDES SLAVES DREAD DESIRE,17.99,Dark Horse,2017-01-01,(W) Neil Gaiman (A/CA) Shane Oakley,Neil Gaiman,Shane Oakley,Shane Oakley,False,False,True,1.0,True
25,52,2.57,NOV161974,ONE PUNCH MAN,9.99,Viz,2017-01-01,(W) One (A/CA) Yusuke Murata,One,Yusuke Murata,Yusuke Murata,False,False,True,10.0,True
26,32,2.23,OCT161022,MIGHTY THOR,19.99,Marvel,2017-01-01,(W) Jason Aaron (A/CA) Russell Dauterman,Jason Aaron,Russell Dauterman,Russell Dauterman,False,False,True,1.0,False
27,46,2.07,OCT161009,AMAZING SPIDER-MAN WORLDWIDE,15.99,Marvel,2017-01-01,"(W) Dan Slott (A) Giuseppe Camuncoli, Javi Garron (CA) Alex Ross",Dan Slott,"Giuseppe Camuncoli, Javi Garron",Alex Ross,False,False,False,4.0,False
28,78,2.05,NOV160697,RENATO JONES ONE PERCENT,9.99,Image,2017-01-01,(W) Kaare Kyle Andrews (A/CA) Kaare Kyle Andrews,Kaare Kyle Andrews,Kaare Kyle Andrews,Kaare Kyle Andrews,False,False,True,1.0,True
29,24,2.0,SEP160346,HARLEY QUINN,24.99,DC,2017-01-01,"(W) Amanda Conner, Jimmy Palmiotti (A) Chad Hardin, John Timms, Elsa Charretier, Moritat (CA) Amanda Conner","Amanda Conner, Jimmy Palmiotti","Chad Hardin, John Timms, Elsa Charretier, Moritat",Amanda Conner,False,False,False,6.0,False
30,115,1.9,JUL150554,DESCENDER,9.99,Image,2017-01-01,(W) Jeff Lemire (A/CA) Dustin Nguyen,Jeff Lemire,Dustin Nguyen,Dustin Nguyen,False,False,True,1.0,True
31,28,1.85,OCT160308,INJUSTICE GODS AMONG US YEAR TWO COMPLETE COLL,24.99,DC,2017-01-01,"(W) Tom Taylor, Marguerite Bennett (A) Tom Derenick, Vicente Cifuentes, Daniel HDR, Mike S. Miller, Jheremy Raapack, Bruno Redondo, Xermanico, David Yardin, Juan Albarran, Saleem Crawford, Julien Hugonnard-Bert (CA) St?phane Roux","Tom Taylor, Marguerite Bennett","Tom Derenick, Vicente Cifuentes, Daniel HDR, Mike S. Miller, Jheremy Raapack, Bruno Redondo, Xermanico, David Yardin, Juan Albarran, Saleem Crawford, Julien Hugonnard-Bert",St?phane Roux,False,False,False,1.0,False
32,71,1.7,SEP160815,PAPER GIRLS,12.99,Image,2017-01-01,(W) Brian K. Vaughan (A) Matt Wilson (A/CA) Cliff Chiang,Brian K. Vaughan,"Matt Wilson,Cliff Chiang",Cliff Chiang,False,False,True,2.0,True
33,97,1.67,NOV160668-M,HORIZON,9.99,Image,2017-01-01,(W) Brandon Thomas (A) Juan Gedeon (CA) Jason Howard,Brandon Thomas,Juan Gedeon,Jason Howard,False,False,False,1.0,True
34,74,1.67,OCT160313,TEEN TITANS GO,12.99,DC,2017-01-01,"(W) Merrill Hagan, Sholly Fisch, Ivan Cohen, Derek Fridolfs, Heather Nuhfer, Paul Morrissey (A) Lea Hernandez, Jeremy Lawson, Marcelo DiChiara, Derek Fridolfs (CA) Dan Hipp","Merrill Hagan, Sholly Fisch, Ivan Cohen, Derek Fridolfs, Heather Nuhfer, Paul Morrissey","Lea Hernandez, Jeremy Lawson, Marcelo DiChiara, Derek Fridolfs",Dan Hipp,False,False,False,3.0,False
35,88,1.63,OCT160480,LOVE IS LOVE,9.99,IDW,2017-01-01,"(W) Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Various (A) Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Jay Edidin, Various (CA) Elsa Charretier","Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Various","Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Jay Edidin, Various",Elsa Charretier,False,False,False,1.0,True
36,47,1.62,JUL150827,STAR WARS DARTH VADER,19.99,Marvel,2017-01-01,(W) Kieron Gillen (A) Salvador Larroca (CA) Adi Granov,Kieron Gillen,Salvador Larroca,Adi Granov,False,False,False,1.0,False
37,57,1.6,OCT160307,GRAYSON,16.99,DC,2017-01-01,"(W) Tom King, Tim Seeley, Jackson Lanzing, Collin Kelly (A) Carmine Di Giandomenico, Roge Antonia, Geraldo Borges, Natasha Alterici, Christian Duce, Flaviano, Javi Fernandez (CA) Mikel Janin","Tom King, Tim Seeley, Jackson Lanzing, Collin Kelly","Carmine Di Giandomenico, Roge Antonia, Geraldo Borges, Natasha Alterici, Christian Duce, Flaviano, Javi Fernandez",Mikel Janin,False,False,False,5.0,False
38,39,1.57,OCT160323,HELLBLAZER,24.99,DC,2017-01-01,"(W) Brian Azzarello (A) Guy Davis, Marcelo Frusin, Giuseppe Camuncoli, Cameron Stewart (CA) Simon Bisley",Brian Azzarello,"Guy Davis, Marcelo Frusin, Giuseppe Camuncoli, Cameron Stewart",Simon Bisley,False,False,False,15.0,False
39,142,1.56,SEP140684,WICKED & DIVINE,9.99,Image,2017-01-01,(W) Kieron Gillen (A/CA) Jamie McKelvie,Kieron Gillen,Jamie McKelvie,Jamie McKelvie,False,False,True,1.0,True
40,56,1.52,MAY160697,PROPHET,17.99,Image,2017-01-01,"(W) Brandon Graham, Simon Roy (A) Giannis Milonogiannis, Ron Ackins, Brandon Graham, Simon Roy, Sandra Lanz (A/CA) Grim Wilkins","Brandon Graham, Simon Roy","Giannis Milonogiannis, Ron Ackins, Brandon Graham, Simon Roy, Sandra Lanz,Grim Wilkins",Grim Wilkins,False,False,True,5.0,True
41,33,1.49,JUL100692,WOLVERINE OLD MAN LOGAN,29.99,Marvel,2017-01-01,(W) Mark Millar (A/CA) Steve McNiven,Mark Millar,Steve McNiven,Steve McNiven,False,False,True,1.0,False
42,72,1.46,MAR160684,SAGA,14.99,Image,2017-01-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,6.0,True
43,153,1.45,JAN140558,SEX CRIMINALS,9.99,Image,2017-01-01,(W) Matt Fraction (A/CA) Chip Zdarsky,Matt Fraction,Chip Zdarsky,Chip Zdarsky,False,False,True,1.0,True
44,154,1.44,JUN130466,EAST OF WEST,9.99,Image,2017-01-01,(W) Jonathan Hickman (A/CA) Nick Dragotta,Jonathan Hickman,Nick Dragotta,Nick Dragotta,False,False,True,1.0,True
45,156,1.44,JAN160644,I HATE FAIRYLAND,9.99,Image,2017-01-01,(W) Skottie Young (A/CA) Skottie Young,Skottie Young,Skottie Young,Skottie Young,False,False,True,1.0,True
46,31,1.43,OCT160654,BEOWULF,29.99,Image,2017-01-01,(W) Santiago Garc?a (A/CA) David Rubin,Santiago Garc?a,David Rubin,David Rubin,False,False,True,1.0,True
47,35,1.42,OCT160306,GREEN LANTERN HAL JORDAN,29.99,DC,2017-01-01,"(W) Jim Owlsey, Keith Giffen, Gerard Jones (A) Romeo Tanghal, Keith Giffen (CA) Klaus Janson (A/CA) MD Bright","Jim Owlsey, Keith Giffen, Gerard Jones","Romeo Tanghal, Keith Giffen,MD Bright","Klaus Janson,MD Bright",False,False,True,1.0,False
48,73,1.39,SEP160100,HARROW COUNTY,14.99,Dark Horse,2017-01-01,(W) Cullen Bunn (A/CA) Tyler Crook,Cullen Bunn,Tyler Crook,Tyler Crook,False,False,True,4.0,True
49,50,1.37,JUN160408,MARCH,19.99,IDW,2017-01-01,"(W) Andrew Aydin, John Lewis (A/CA) Nate Powell","Andrew Aydin, John Lewis",Nate Powell,Nate Powell,False,False,True,3.0,True
50,164,1.34,MAY150482,BITCH PLANET,9.99,Image,2017-01-01,(W) Kelly Sue DeConnick (A) Robert Wilson Iv (A/CA) Valentine De Landro,Kelly Sue DeConnick,"Robert Wilson Iv,Valentine De Landro",Valentine De Landro,False,False,True,1.0,True
51,80,1.31,NOV160965,UNCANNY X-MEN SUPERIOR,15.99,Marvel,2017-01-01,(W) Various (A) Various (CA) Humberto Ramos,Various,Various,Humberto Ramos,False,False,False,3.0,False
52,81,1.3,OCT161015,SCARLET WITCH,15.99,Marvel,2017-01-01,(W) James Robinson (A) Various (CA) David Aja,James Robinson,Various,David Aja,False,False,False,2.0,False
53,84,1.29,JAN160676,MORNING GLORIES,14.99,Image,2017-01-01,(W) Nick Spencer (A) Joe Eisma (CA) Rodin Esquejo,Nick Spencer,Joe Eisma,Rodin Esquejo,False,False,False,10.0,True
54,69,1.29,NOV070226,BATMAN THE KILLING JOKE SPECIAL ED,17.99,DC,2017-01-01,(W) Alan Moore (A/CA) Brian Bolland,Alan Moore,Brian Bolland,Brian Bolland,False,False,True,1.0,False
55,62,1.28,OCT160298,BATGIRL,19.99,DC,2017-01-01,"(W) Kelley Puckett, Chuck Dixon, Scott Peterson (A) Vince Giarrano, Giuseppe Camuncoli, Jesse Delperdang, Klaus Janson, Wade Von Grawbadger, Cameron Stewart (A/CA) Damion Scott, Robert Campanella","Kelley Puckett, Chuck Dixon, Scott Peterson","Vince Giarrano, Giuseppe Camuncoli, Jesse Delperdang, Klaus Janson, Wade Von Grawbadger, Cameron Stewart,Damion Scott, Robert Campanella","Damion Scott, Robert Campanella",False,False,True,3.0,False
56,55,1.27,NOV160426,MY LITTLE PONY FRIENDSHIP IS MAGIC,19.99,IDW,2017-01-01,"(W) Thom Zahler, Ted Anderson (A) Agnes Garbowska (A/CA) Tony Fleecs","Thom Zahler, Ted Anderson","Agnes Garbowska,Tony Fleecs",Tony Fleecs,False,False,True,11.0,False
57,169,1.26,MAR140535,BLACK,9.99,Image,2017-01-01,"(W) Rick Remender (A/CA) Matteo Scalera, Dean White",Rick Remender,"Matteo Scalera, Dean White","Matteo Scalera, Dean White",False,False,True,1.0,True
58,34,1.24,JUL161058,WOLVERINE ORIGIN COMPLETE COLLECTION,34.99,Marvel,2017-01-01,"(W) Various (A) Andy Kubert, Adam Kubert (CA) TBD",Various,"Andy Kubert, Adam Kubert",TBD,False,False,False,1.0,False
59,26,1.23,NOV160982,PUNISHER MAX COMPLETE COLLECTION,39.99,Marvel,2017-01-01,(W) Various (A) Various (CA) Dave Johnson,Various,Various,Dave Johnson,False,False,False,5.0,False
60,63,1.23,SEP160039,ALIENS DEFIANCE,19.99,Dark Horse,2017-01-01,"(W) Brian Wood (A) Tristan Jones, Riccardo Burchielli, Tony Brescini (CA) Massimo Carnevale",Brian Wood,"Tristan Jones, Riccardo Burchielli, Tony Brescini",Massimo Carnevale,False,False,False,1.0,False
60,60,1.23,SEP160101,HOUSE OF PENANCE,19.99,Dark Horse,2017-01-01,(W) Peter J. Tomasi (A/CA) Ian Bertram,Peter J. Tomasi,Ian Bertram,Ian Bertram,False,False,True,1.0,True
62,27,1.22,OCT161028,INCREDIBLE HULK EPIC COLLECTION,39.99,Marvel,2017-01-01,"(W) Peter David, Various (A) Various (CA) Gary Frank","Peter David, Various",Various,Gary Frank,False,False,False,1.0,False
63,173,1.21,OCT140637,OUTCAST BY KIRKMAN & AZACETA,9.99,Image,2017-01-01,(W) Robert Kirkman (A/CA) Paul Azaceta,Robert Kirkman,Paul Azaceta,Paul Azaceta,False,False,True,1.0,True
64,67,1.21,NOV161993,LEGEND OF ZELDA LEGENDARY ED,17.99,Viz,2017-01-01,(W) Akira Himekawa (A/CA) Akira Himekawa,Akira Himekawa,Akira Himekawa,Akira Himekawa,False,False,True,2.0,False
65,64,1.18,SEP160028,DEPT H,19.99,Dark Horse,2017-01-01,(W) Matt Kindt (A/CA) Matt Kindt,Matt Kindt,Matt Kindt,Matt Kindt,False,False,True,1.0,True
66,94,1.17,OCT160312,STARFIRE,14.99,DC,2017-01-01,"(W) Amanda Conner, Jimmy Palmiotti (A) Emanuela Lupacchino, Ray McCarthy, Elsa Charretier, Mirco Pierfederici, Sean Parsons (CA) Amanda Conner","Amanda Conner, Jimmy Palmiotti","Emanuela Lupacchino, Ray McCarthy, Elsa Charretier, Mirco Pierfederici, Sean Parsons",Amanda Conner,False,False,False,2.0,False
67,38,1.15,JUL161061,DEADPOOL WORLDS GREATEST,34.99,Marvel,2017-01-01,(W) Various (A) Various (CA) Mike Hawthorne,Various,Various,Mike Hawthorne,False,False,False,1.0,False
68,91,1.14,OCT161005,CAPTAIN AMERICA SAM WILSON,15.99,Marvel,2017-01-01,(W) Nick Spencer (A) Angel Unzueta (A/CA) Daniel Acu?a,Nick Spencer,"Angel Unzueta,Daniel Acu?a",Daniel Acu?a,False,False,True,3.0,False
69,12,1.11,JUL161065-M,MMW INVINCIBLE IRON MAN,75.0,Marvel,2017-01-01,(W) Various (A) Various (CA) Gil Kane,Various,Various,Gil Kane,False,False,False,10.0,False
70,93,1.11,SEP160041,PROMETHEUS LIFE AND DEATH,14.99,Dark Horse,2017-01-01,(W) Dan Abnett (A) Andrea Mutti (CA) David Palumbo,Dan Abnett,Andrea Mutti,David Palumbo,False,False,False,1.0,False
71,86,1.09,OCT161011,A-FORCE,17.99,Marvel,2017-01-01,(W) Kelly Thompson (A) Ben Caldwell (A/CA) Paulo Siqueira,Kelly Thompson,"Ben Caldwell,Paulo Siqueira",Paulo Siqueira,False,False,True,2.0,False
72,99,1.09,APR130443,SAGA,14.99,Image,2017-01-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,2.0,True
73,70,1.09,SEP160092,ABE SAPIEN,19.99,Dark Horse,2017-01-01,"(W) Mike Mignola, Scott Allie (A) Max Fiumara (A/CA) Sebastian Fiumara","Mike Mignola, Scott Allie","Max Fiumara,Sebastian Fiumara",Sebastian Fiumara,False,False,True,8.0,True
74,75,1.08,OCT160302,GREEN ARROW,19.99,DC,2017-01-01,"(W) Mike Grell (A) Rick Hoberg, John Nyberg, Shawn McManus, Frank Springer, Pablo Marcos (CA) Mike Grell",Mike Grell,"Rick Hoberg, John Nyberg, Shawn McManus, Frank Springer, Pablo Marcos",Mike Grell,False,False,False,7.0,False
75,103,1.06,SEP088204,WALKING DEAD,14.99,Image,2017-01-01,(W) Robert Kirkman (A/CA) Charlie Adlard,Robert Kirkman,Charlie Adlard,Charlie Adlard,False,False,True,2.0,True
76,199,1.05,JAN140555,RAT QUEENS,9.99,Image,2017-01-01,(W) Kurtis J. Wiebe (A) Roc Upchurch (CA) Fiona Staples,Kurtis J. Wiebe,Roc Upchurch,Fiona Staples,False,False,False,1.0,True
77,92,1.04,OCT160311,SUPERMAN BATMAN SAGA OF THE SUPER SONS,16.99,DC,2017-01-01,"(W) Bob Haney, Dennis O'Neil (A) Curt Swan, Dick Dillin, Rich Buckler, Ernie Chan, Henry Scarpelli, Murphy Anderson, Vince Colletta, Tex Blaisdell, John Calnan, Dick Giordano, Kieron Dwyer (CA) Nick Cardy","Bob Haney, Dennis O'Neil","Curt Swan, Dick Dillin, Rich Buckler, Ernie Chan, Henry Scarpelli, Murphy Anderson, Vince Colletta, Tex Blaisdell, John Calnan, Dick Giordano, Kieron Dwyer",Nick Cardy,False,False,False,1.0,False
78,49,1.01,SEP160336,BATMAN DEATH AND THE MAIDENS DLX ED,29.99,DC,2017-01-01,(W) Greg Rucka (A/CA) Klaus Janson,Greg Rucka,Klaus Janson,Klaus Janson,False,False,True,1.0,False
79,175,1.01,OCT160537,MY LITTLE PONY PRINCESS TWILIGHT SPARKLE,7.99,IDW,2017-01-01,(W) Various (A/CA) Various,Various,Various,Various,False,False,True,1.0,False
80,98,1.01,JUN160956,BLACK PANTHER,16.99,Marvel,2017-01-01,(W) Ta-Nehisi Coates (A/CA) Brian Stelfreeze,Ta-Nehisi Coates,Brian Stelfreeze,Brian Stelfreeze,False,False,True,1.0,False
81,43,1.0,JUL161060,AMAZING SPIDER-MAN WORLDWIDE,34.99,Marvel,2017-01-01,"(W) Dan Slott, Christos N. Gage, Various (A) Various (CA) Alex Ross","Dan Slott, Christos N. Gage, Various",Various,Alex Ross,False,False,False,1.0,False
82,106,1.0,JUN160722,WALKING DEAD,14.99,Image,2017-01-01,"(W) Robert Kirkman (A) Stefano Gaudiano, Cliff Rathburn (CA) Dave Stewart (A/CA) Charlie Adlard",Robert Kirkman,"Stefano Gaudiano, Cliff Rathburn,Charlie Adlard","Dave Stewart,Charlie Adlard",False,False,True,26.0,True
83,108,0.98,OCT160327,UNFOLLOW,14.99,DC,2017-01-01,"(W) Rob Williams (A) Michael Dowling, Ryan Kelly, Marguerite Sauvage (CA) Matt Taylor",Rob Williams,"Michael Dowling, Ryan Kelly, Marguerite Sauvage",Matt Taylor,False,False,False,2.0,True
84,109,0.97,NOV160724,THIEF OF THIEVES,14.99,Image,2017-01-01,(W) Andy Diggle (A/CA) Shawn Martinbrough,Andy Diggle,Shawn Martinbrough,Shawn Martinbrough,False,False,True,6.0,True
85,2,0.96,SEP160482,JACK KIRBY FANTASTIC FOUR ARTIST ED,75.0,IDW,2017-01-01,(W) Stan Lee (A/CA) Jack Kirby,Stan Lee,Jack Kirby,Jack Kirby,False,False,True,1.0,False
86,41,0.96,NOV160988,STAR WARS LEGENDS EPIC COLLECTION,39.99,Marvel,2017-01-01,(W) Various (A) Various (CA) Al Williamson,Various,Various,Al Williamson,False,False,False,1.0,False
87,96,0.95,OCT161006,SPIDER-MAN 2099,17.99,Marvel,2017-01-01,(W) Peter David (A) Will Sliney (CA) Francesco Mattina,Peter David,Will Sliney,Francesco Mattina,False,False,False,5.0,False
88,87,0.95,FEB140265-M,WATCHMEN,19.99,DC,2017-01-01,(W) Alan Moore (A/CA) Dave Gibbons,Alan Moore,Dave Gibbons,Dave Gibbons,False,False,True,1.0,False
89,89,0.93,OCT160299,BATMAN ARKHAM MANBAT,19.99,DC,2017-01-01,"(W) Gerry Conway, Frank Robbins, Martin Pasko, Jan Strnad, Chuck Dixon, Dan DiDio, Frank Tieri (A) Neal Adams, Steve Ditko, Dick Giordano, Al Milgrom, Pablo Marcos, Ricardo Villamonte, Kevin Nowlan, Flint Henry, Eduardo Barreto, Quique Alcatena, J. G. Jones, Scot Eaton, Jaime Mendoza (CA) Jason Fabok","Gerry Conway, Frank Robbins, Martin Pasko, Jan Strnad, Chuck Dixon, Dan DiDio, Frank Tieri","Neal Adams, Steve Ditko, Dick Giordano, Al Milgrom, Pablo Marcos, Ricardo Villamonte, Kevin Nowlan, Flint Henry, Eduardo Barreto, Quique Alcatena, J. G. Jones, Scot Eaton, Jaime Mendoza",Jason Fabok,False,False,False,1.0,False
90,95,0.93,SEP160067,MAE,17.99,Dark Horse,2017-01-01,(W) Gene Ha (A) Paulina Ganucheau (A/CA) Gene Ha,Gene Ha,"Paulina Ganucheau,Gene Ha",Gene Ha,False,False,True,1.0,True
91,118,0.92,NOV160722,RED ONE,14.99,Image,2017-01-01,"(W) Xavier Dorison (A/CA) Terry Dodson, Rachel Dodson",Xavier Dorison,"Terry Dodson, Rachel Dodson","Terry Dodson, Rachel Dodson",False,False,True,2.0,True
92,21,0.91,MAR092419,WALKING DEAD COMPENDIUM,59.99,Image,2017-01-01,(W) Robert Kirkman (A) Tony Moore (A/CA) Charlie Adlard,Robert Kirkman,"Tony Moore,Charlie Adlard",Charlie Adlard,False,False,True,1.0,True
93,59,0.89,OCT160300,CATWOMAN,29.99,DC,2017-01-01,"(W) Will Pfeifer, Antony Bedard (A) David Lopez, Alvaro Lopez, Luciana Del Negro, Fabrizio Fiorentino, Marcos Marz, Ibraim Roberson (CA) Adam Hughes","Will Pfeifer, Antony Bedard","David Lopez, Alvaro Lopez, Luciana Del Negro, Fabrizio Fiorentino, Marcos Marz, Ibraim Roberson",Adam Hughes,False,False,False,6.0,False
94,44,0.86,NOV160975,IRON MAN EPIC COLLECTION,39.99,Marvel,2017-01-01,(W) Various (A) Various (CA) Gene Colan,Various,Various,Gene Colan,False,False,False,1.0,False
95,129,0.85,JUL150565,SAGA,14.99,Image,2017-01-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,5.0,True
96,51,0.85,OCT161032,WOLVERINE,34.99,Marvel,2017-01-01,(W) Various (A) Various (CA) Marc Silvestri,Various,Various,Marc Silvestri,False,False,False,1.0,False
