QTYRANK,DOLLARRANK,INDEX,ITEM CODE,DESCRIPTION,PRICE,VENDOR,Month,CreativeTeam,Writer,InteriorArtist,CoverArtist,WriterIsArtist,WriterIsCoverArtist,ArtistIsCoverArtist,Volume,CreatorOwned
24,10,1.95,JUN170017,HELLBOY IN HELL LIBRARY EDITION,49.99,Dark Horse,2017-10-01,(W) Mike Mignola (A/CA) Mike Mignola,Mike Mignola,Mike Mignola,Mike Mignola,False,False,True,1.0,True
25,48,1.93,JUL170464,SUPERGIRL,16.99,DC,2017-10-01,"(W) Steve Orlando, Hope Larson (A) Matias Bergara, Inaki Miranda (A/CA) Brian Ching","Steve Orlando, Hope Larson","Matias Bergara, Inaki Miranda,Brian Ching",Brian Ching,False,False,True,2.0,False
26,51,1.9,JUL170479,INJUSTICE GODS AMONG US YEAR FIVE,16.99,DC,2017-10-01,"(W) Brian Buccellato (A) Mike S. Miller, Tom Derenick, Xermanico, Marco Santucci (CA) David Yardin",Brian Buccellato,"Mike S. Miller, Tom Derenick, Xermanico, Marco Santucci",David Yardin,False,False,False,3.0,False
27,49,1.88,AUG170576,PLASTIC,16.99,Image,2017-10-01,(W) Doug Wagner (A) Daniel Hillyard (CA) Andrew Robinson,Doug Wagner,Daniel Hillyard,Andrew Robinson,False,False,False,1.0,True
28,54,1.86,JUL170471,DC COMICS BOMBSHELLS,16.99,DC,2017-10-01,"(W) Marguerite Bennett (A) Elsa Charretier, Laura Braga, Mirka Andolfo, Carmen Nunez Carnero, Richard Ortiz, Rachael Stott, Aneke (CA) Ant Lucia",Marguerite Bennett,"Elsa Charretier, Laura Braga, Mirka Andolfo, Carmen Nunez Carnero, Richard Ortiz, Rachael Stott, Aneke",Ant Lucia,False,False,False,5.0,False
29,57,1.83,JUL170459,HELLBLAZER,16.99,DC,2017-10-01,"(W) Simon Oliver (A) Philip Tan, Davide Fabbri, Jos? Marzan, Karl Kesel (CA) Yasmine Putri",Simon Oliver,"Philip Tan, Davide Fabbri, Jos? Marzan, Karl Kesel",Yasmine Putri,False,False,False,2.0,False
30,53,1.79,JUL171208-M,AMERICA,17.99,Marvel,2017-10-01,"(W) Gabby Rivera, Kelly Thompson (A) Ming Doyle, Ramon Villalobos (A/CA) Joe Quinones","Gabby Rivera, Kelly Thompson","Ming Doyle, Ramon Villalobos,Joe Quinones",Joe Quinones,False,False,True,1.0,False
31,64,1.77,AUG171024,VENOM,16.99,Marvel,2017-10-01,"(W) Mike Costa, Robbie Thompson, David Michelinie (A/CA) Tradd Moore (A) Gerardo Sandoval, Ron Lim, Gerardo Sandoval","Mike Costa, Robbie Thompson, David Michelinie","Gerardo Sandoval, Ron Lim, Gerardo Sandoval,Tradd Moore",Tradd Moore,False,False,True,2.0,False
32,69,1.72,JUL171213,SPIDER-GWEN,15.99,Marvel,2017-10-01,"(W) Jason Latour, Hannah Blumenreich (A) Hannah Blumenreich (A/CA) Robbi Rodriguez","Jason Latour, Hannah Blumenreich","Hannah Blumenreich,Robbi Rodriguez",Robbi Rodriguez,False,False,True,4.0,False
33,209,1.67,MAY140936,LOKI AGENT OF ASGARD,19.99,Marvel,2017-10-01,(W) Al Ewing (A) Lee Garbett (CA) Jenny Frison,Al Ewing,Lee Garbett,Jenny Frison,False,False,False,1.0,False
34,65,1.66,JUL171210,JEAN GREY,17.99,Marvel,2017-10-01,"(W) Dennis Hopeless (A) Victor Ibanez, Harvey Tolibao, Anthony Piper (CA) David Yardin",Dennis Hopeless,"Victor Ibanez, Harvey Tolibao, Anthony Piper",David Yardin,False,False,False,1.0,False
35,32,1.65,JUL170472,DEMON BY JACK KIRBY,29.99,DC,2017-10-01,"(W) Jack Kirby (A/CA) Jack Kirby, Mike Royer",Jack Kirby,"Jack Kirby, Mike Royer","Jack Kirby, Mike Royer",False,False,True,1.0,False
36,23,1.62,JUL170473,FLASH BY MARK WAID,34.99,DC,2017-10-01,"(W) Mark Waid (A) Mike Wieringo, Jos? Marzan, Rob Haynes, Barry Kitson, Kris Renkewitz, Carlos Pacheco, Ian Akin, Ken Branch, Mike Deodato, Wayne Faucher (CA) Alan Davis, Mark Farmer",Mark Waid,"Mike Wieringo, Jos? Marzan, Rob Haynes, Barry Kitson, Kris Renkewitz, Carlos Pacheco, Ian Akin, Ken Branch, Mike Deodato, Wayne Faucher","Alan Davis, Mark Farmer",False,False,False,3.0,False
37,3,1.61,APR171133-M,SHANG-CHI MASTER OF KUNG FU OMNIBUS,125.0,Marvel,2017-10-01,(W) Various (A) Various (CA) David Mack,Various,Various,David Mack,False,False,False,4.0,False
38,123,1.61,JUL170732,BLACK CLOUD,9.99,Image,2017-10-01,"(W) Jason Latour, Ivan Brandon (A/CA) Greg Hinkle","Jason Latour, Ivan Brandon",Greg Hinkle,Greg Hinkle,False,False,True,1.0,True
39,56,1.58,AUG171034,DOCTOR STRANGE,19.99,Marvel,2017-10-01,"(W) Jason Aaron (A) Kevin Nowlan, Leonardo Romero, Jorge Fornes, Cory Smith (A/CA) Chris Bachalo",Jason Aaron,"Kevin Nowlan, Leonardo Romero, Jorge Fornes, Cory Smith,Chris Bachalo",Chris Bachalo,False,False,True,3.0,False
40,38,1.57,JUL170474,INJUSTICE 2,24.99,DC,2017-10-01,"(W) Tom Taylor (A) Bruno Redondo, Juan Albarran, Daniel Sampere, Mike S. Miller (CA) Vicente Cifuentes",Tom Taylor,"Bruno Redondo, Juan Albarran, Daniel Sampere, Mike S. Miller",Vicente Cifuentes,False,False,False,1.0,False
41,27,1.55,JUL170466,WONDER WOMAN REBIRTH DLX COLL,34.99,DC,2017-10-01,"(W) Greg Rucka (A) Liam Sharp, Nicola Scott, Bilquis Evely, Matthew Clark, Renato Guedes, Sean Parsons (CA) Jenny Frison",Greg Rucka,"Liam Sharp, Nicola Scott, Bilquis Evely, Matthew Clark, Renato Guedes, Sean Parsons",Jenny Frison,False,False,False,1.0,False
42,73,1.55,JUN171340,STEVEN UNIVERSE ONGOING,14.99,Boom!,2017-10-01,(W) Melanie Gillman (A) Katy Farina (CA) Missy Pena,Melanie Gillman,Katy Farina,Missy Pena,False,False,False,1.0,False
43,132,1.54,JUL170482,JUSTICE LEAGUE THEIR GREATEST TRIUMPHS,9.99,DC,2017-10-01,"(W) Geoff Johns, Mark Waid, Doug Mahnke, Brad Meltzer, Kurt Busiek, Bryan Hitch (A) Ivan Reis, Doug Mahnke, Mark Pajarillo, Walden Wong, Joe Prado, Keith Champagne, Christian Alamy, Ron Garney, Dan Green, Bryan Hitch, Daniel Henriques, Scott Hanna (A/CA) Jim Lee, Scott Williams","Geoff Johns, Mark Waid, Doug Mahnke, Brad Meltzer, Kurt Busiek, Bryan Hitch","Ivan Reis, Doug Mahnke, Mark Pajarillo, Walden Wong, Joe Prado, Keith Champagne, Christian Alamy, Ron Garney, Dan Green, Bryan Hitch, Daniel Henriques, Scott Hanna,Jim Lee, Scott Williams","Jim Lee, Scott Williams",False,False,True,1.0,False
43,128,1.54,AUG120491,SAGA,9.99,Image,2017-10-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,1.0,True
43,82,1.54,AUG171022,BEN REILLY,15.99,Marvel,2017-10-01,(W) Peter David (A/CA) Mark Bagley,Peter David,Mark Bagley,Mark Bagley,False,False,True,1.0,False
46,70,1.5,JUL171212,BLACK PANTHER CREW,17.99,Marvel,2017-10-01,"(W) Ta-Nehisi Coates, Yona Harvey (A) Butch Guice, Mack Chater (CA) John Cassidy","Ta-Nehisi Coates, Yona Harvey","Butch Guice, Mack Chater",John Cassidy,False,False,False,1.0,False
47,45,1.49,JUL151482,RICK & MORTY,19.99,Oni,2017-10-01,(W) Zac Gorman (A) Marc Ellerby (A/CA) CJ Cannon,Zac Gorman,"Marc Ellerby,CJ Cannon",CJ Cannon,False,False,True,1.0,False
48,4,1.48,APR171130,HULK WORLD WAR HULK OMNIBUS,125.0,Marvel,2017-10-01,(W) Various (A) Various (CA) David Finch,Various,Various,David Finch,False,False,False,1.0,False
49,66,1.47,JUN170030,VISITOR HOW AND WHY HE STAYED,19.99,Dark Horse,2017-10-01,"(W) Mike Mignola, Chris Roberson (A/CA) Paul Grist","Mike Mignola, Chris Roberson",Paul Grist,Paul Grist,False,False,True,1.0,True
50,71,1.46,AUG171130,ANIMOSITY,14.99,Aftershock,2017-10-01,(W) Marguerite Bennett (A/CA) Rafael de Latorre,Marguerite Bennett,Rafael de Latorre,Rafael de Latorre,False,False,True,2.0,True
